quarter,start date,end date,portfolio type,start value,end value,log return,portfolio range
21,12/2013,03/2014,unweighted,213765.3260499999,222429.31374,0.03973055401042025,100+
21,12/2013,03/2014,unweighted,38144.21599999996,38234.71281,0.0023696811085951452,60-100
21,12/2013,03/2014,unweighted,46894.20759999997,46877.887700000036,-0.00034807583455354063,30-60
21,12/2013,03/2014,unweighted,28432.726499999975,28613.7845,0.006347753956832847,15-30
21,12/2013,03/2014,unweighted,14251.64089999999,14512.991299999996,0.018172149062996468,5-15
21,12/2013,03/2014,unweighted,1821.8886000000014,1967.8053499999987,0.07704523085215609,0-5
22,03/2014,06/2014,unweighted,223881.11376,225631.06578999994,0.007786044294860517,100+
22,03/2014,06/2014,unweighted,38847.51779000001,39659.55510000002,0.02068772255381468,60-100
22,03/2014,06/2014,unweighted,46223.68780000007,47245.63770000003,0.02186793623420158,30-60
22,03/2014,06/2014,unweighted,29096.715200000002,29260.4702,0.005612177101649962,15-30
22,03/2014,06/2014,unweighted,14874.607599999996,14735.336299999992,-0.009407132112549732,5-15
22,03/2014,06/2014,unweighted,1860.4453499999984,1809.3667000000005,-0.02783899999952144,0-5
23,06/2014,09/2014,unweighted,229661.43081999995,245449.86993000004,0.06648654608432558,100+
23,06/2014,09/2014,unweighted,39460.24010000002,37095.145699999994,-0.061807467831792806,60-100
23,06/2014,09/2014,unweighted,46355.96550000003,44269.478299999995,-0.04605452706120694,30-60
23,06/2014,09/2014,unweighted,29508.79389999998,27500.410300000007,-0.07048739266716275,15-30
23,06/2014,09/2014,unweighted,14801.264699999992,13606.304399999986,-0.08417938566656069,5-15
23,06/2014,09/2014,unweighted,1880.7927000000007,1739.2465000000013,-0.07824136345115651,0-5
24,09/2014,12/2014,unweighted,244275.54993000007,264491.95507,0.07951394411937152,100+
24,09/2014,12/2014,unweighted,35790.80569999998,36381.81809999996,0.01637811070301609,60-100
24,09/2014,12/2014,unweighted,45778.35030000001,47140.35380000002,0.029318124294674064,30-60
24,09/2014,12/2014,unweighted,28576.08410000004,29000.088400000015,0.014728730538815071,15-30
24,09/2014,12/2014,unweighted,15656.557799999999,15733.80539999998,0.004921749738445058,5-15
24,09/2014,12/2014,unweighted,1939.5928999999994,1868.578999999998,-0.037299856740496296,0-5
25,12/2014,03/2015,unweighted,268936.96807000006,261349.73893000014,-0.028617526472576316,100+
25,12/2014,03/2015,unweighted,36163.59509999995,36436.86011,0.007527950057699684,60-100
25,12/2014,03/2015,unweighted,46849.06540000007,47801.86829999998,0.02013366479486578,30-60
25,12/2014,03/2015,unweighted,29258.792800000032,29353.11599999997,0.003218570538210841,15-30
25,12/2014,03/2015,unweighted,14960.984899999976,14964.82689999999,0.000256768307359323,5-15
25,12/2014,03/2015,unweighted,1887.2394999999976,1915.3565000000012,0.014788587815228738,0-5
26,03/2015,06/2015,unweighted,263766.89394,249984.29302000004,-0.05366764762356979,100+
26,03/2015,06/2015,unweighted,38273.96509999997,37199.08290000003,-0.028485794891896177,60-100
26,03/2015,06/2015,unweighted,46842.4422,46253.69769999993,-0.012648265534732417,30-60
26,03/2015,06/2015,unweighted,28339.739099999973,27873.537400000023,-0.01658726970246782,15-30
26,03/2015,06/2015,unweighted,14497.5565,14407.455499999991,-0.0062343023297053435,5-15
26,03/2015,06/2015,unweighted,1924.204200000001,2016.8575999999998,0.04702817691100769,0-5
27,06/2015,09/2015,unweighted,250934.88302,237585.45492999995,-0.05466610628464963,100+
27,06/2015,09/2015,unweighted,36181.56790000004,31855.938,-0.1273260140636765,60-100
27,06/2015,09/2015,unweighted,46877.02549999994,40466.522600000026,-0.14705266420453,30-60
27,06/2015,09/2015,unweighted,29351.99800000002,25404.29130000002,-0.144442510341376,15-30
27,06/2015,09/2015,unweighted,14987.774199999996,12881.008399999997,-0.15148080589529478,5-15
27,06/2015,09/2015,unweighted,1911.5162000000007,1615.305600000001,-0.168372584358206,0-5
28,09/2015,12/2015,unweighted,234067.89494000003,237654.36988999997,0.01520616822561216,100+
28,09/2015,12/2015,unweighted,30324.48799999997,30200.86752,-0.004084921132246677,60-100
28,09/2015,12/2015,unweighted,41729.9041,42329.50670000003,0.014266404297469393,30-60
28,09/2015,12/2015,unweighted,27479.159900000042,27756.865799999992,0.010055330244076899,15-30
28,09/2015,12/2015,unweighted,16612.59929999999,16683.949100000005,0.0042857240547693465,5-15
28,09/2015,12/2015,unweighted,2225.0601999999994,2222.5418000000027,-0.0011324755538604236,0-5
29,12/2015,03/2016,unweighted,240640.55990999995,254336.81105000002,0.05535504886364784,100+
29,12/2015,03/2016,unweighted,30274.177499999987,29922.060189999997,-0.011699114086635376,60-100
29,12/2015,03/2016,unweighted,42458.3393000001,41883.169299999936,-0.013639284525421402,30-60
29,12/2015,03/2016,unweighted,28013.790400000005,27083.904200000008,-0.03375729274212347,15-30
29,12/2015,03/2016,unweighted,15923.380800000006,15429.1606,-0.031529255302867654,5-15
29,12/2015,03/2016,unweighted,2160.8698000000013,2145.9205999999976,-0.006942181369349321,0-5
30,03/2016,06/2016,unweighted,256480.2811500001,260859.22003000008,0.016929089895555194,100+
30,03/2016,06/2016,unweighted,30861.59010000001,30913.444199999998,0.0016788048041185277,60-100
30,03/2016,06/2016,unweighted,40034.63669999996,40295.02220000001,0.006482945789501926,30-60
30,03/2016,06/2016,unweighted,27356.826000000005,27732.735500000006,0.013647425183441086,15-30
30,03/2016,06/2016,unweighted,15864.575800000008,16094.401400000002,0.0143827858097616,5-15
30,03/2016,06/2016,unweighted,2268.372099999999,2437.8258499999993,0.07204415934249297,0-5
